                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     84,                0.54721,                 0.5203,                0.93124,                0.95187,                 0.8097,                0.90255,                0.74892,                0.65184,                0.58829,                 1.0188,             0.00031373,             0.00031373,             0.00031373
                     85,                0.55494,                 0.4826,                0.92038,                0.92211,                0.84343,                0.91269,                0.75312,                0.64217,                0.57323,                 1.0105,             0.00029723,             0.00029723,             0.00029723
                     86,                0.53681,                0.49751,                0.95056,                0.91375,                0.86364,                0.91596,                0.75518,                0.64639,                0.56335,                 1.0145,             0.00028072,             0.00028072,             0.00028072
                     87,                0.58151,                0.52217,                0.95403,                0.92822,                0.86198,                0.90918,                0.75087,                0.64759,                0.58311,                 1.0164,             0.00026422,             0.00026422,             0.00026422
                     88,                0.50368,                0.47932,                0.91839,                0.93345,                0.84141,                0.89976,                0.75846,                0.63901,                0.56437,                 1.0157,             0.00024772,             0.00024772,             0.00024772
                     89,                0.49399,                0.45789,                0.92775,                0.97042,                 0.8636,                 0.9175,                0.77018,                0.62889,                0.54592,                 1.0073,             0.00023121,             0.00023121,             0.00023121
                     90,                0.51148,                0.46374,                0.94392,                0.94345,                0.87163,                 0.9196,                0.76899,                 0.6196,                0.54144,                0.99338,             0.00021471,             0.00021471,             0.00021471
                     91,                0.43523,                0.38776,                 0.8756,                0.94199,                0.84343,                0.90179,                0.76709,                0.62353,                0.56474,                0.98792,             0.00019821,             0.00019821,             0.00019821
                     92,                0.45316,                0.39882,                0.86885,                0.92494,                0.82549,                0.89483,                0.75431,                0.62859,                0.62948,                0.99065,              0.0001817,              0.0001817,              0.0001817
                     93,                0.44548,                0.37722,                0.86115,                0.95518,                0.83028,                0.90863,                0.75254,                0.61211,                0.62806,                0.98872,              0.0001652,              0.0001652,              0.0001652
                     94,                0.43175,                0.40463,                0.85207,                  0.969,                0.85253,                0.91401,                0.76331,                0.59347,                0.58126,                 0.9871,              0.0001487,              0.0001487,              0.0001487
                     95,                 0.4172,                0.36065,                0.85775,                0.95367,                0.85253,                0.90548,                0.76631,                0.58836,                0.55704,                0.98295,             0.00013219,             0.00013219,             0.00013219
                     96,                0.43594,                0.40956,                0.85216,                0.95155,                0.85253,                 0.9047,                0.75961,                0.59629,                0.55378,                0.98763,             0.00011569,             0.00011569,             0.00011569
                     97,                0.39458,                   0.36,                 0.8385,                0.93678,                0.84141,                 0.8906,                0.75352,                0.59672,                0.55798,                0.98925,             9.9187e-05,             9.9187e-05,             9.9187e-05
                     98,                 0.4087,                0.35954,                0.84168,                0.93596,                0.85253,                 0.8886,                0.75176,                0.59928,                0.56283,                0.99344,             8.2683e-05,             8.2683e-05,             8.2683e-05
                     99,                0.39013,                0.34981,                0.85332,                0.93946,                0.85253,                0.88689,                0.75681,                0.59458,                0.56192,                0.99032,              6.618e-05,              6.618e-05,              6.618e-05
                    100,                 0.4281,                0.37341,                 0.8441,                 0.9376,                0.85252,                0.88742,                0.75743,                0.58987,                0.55677,                0.98279,             4.9677e-05,             4.9677e-05,             4.9677e-05
